"posting_date","quantity"
"2025-06-03","40283.84100000002"
"2025-06-04","32274.04899999998"
"2025-06-05","35008.20200000002"
"2025-06-06","28975.593999999997"
"2025-06-09","35985.830000000016"
"2025-06-10","37467.369999999995"
"2025-06-11","32895.62900000001"
"2025-06-12","30260.186999999994"
"2025-06-13","27404.32500000002"
"2025-06-14","22979.508000000027"
"2025-06-16","33178.97700000001"
"2025-06-17","29082.389000000003"
"2025-06-18","29081.10400000001"
"2025-06-19","37753.731"
"2025-06-20","31466.845999999965"
"2025-06-21","26965.871"
"2025-06-23","39953.098"
"2025-06-24","36519.05899999999"
"2025-06-25","29169.94100000001"
"2025-06-26","25486.323999999997"
"2025-06-27","25509.496000000025"
"2025-06-28","21319.025000000012"
"2025-06-30","32865.143"
"2025-07-01","31963.333999999973"
"2025-07-02","34294.900999999976"
"2025-07-03","34391.23100000005"
"2025-07-04","33290.73899999999"
"2025-07-05","14070.884999999991"
"2025-07-07","33703.958000000006"
"2025-07-08","35766.04100000001"
"2025-07-09","34162.07599999999"
"2025-07-10","42507.65399999999"
"2025-07-11","29270.74799999999"
"2025-07-12","20413.084999999974"
"2025-07-14","41553.02200000006"
"2025-07-15","37461.48300000004"
"2025-07-16","31832.102000000003"
"2025-07-17","25982.20399999999"
"2025-07-18","24553.141999999956"
"2025-07-19","20884.368999999973"
"2025-07-22","35062.03299999998"
"2025-07-23","41948.88699999997"
"2025-07-24","49754.72199999998"
"2025-07-25","53632.35000000004"
"2025-07-26","41782.02799999997"
"2025-07-29","41558.63"
"2025-07-30","65273.984999999964"
"2025-07-31","65939.41600000008"
"2025-08-01","66089.48199999997"
"2025-08-02","54062.29999999992"
"2025-08-05","73314.41500000005"
"2025-08-06","80568.26599999993"
"2025-08-07","71375.71399999988"
"2025-08-08","93741.0810000001"
"2025-08-09","72793.31399999994"
"2025-08-11","111740.94899999988"
"2025-08-12","106562.91499999986"
"2025-08-13","110288.5369999999"
"2025-08-14","96880.70299999988"
"2025-08-15","78357.6429999999"
"2025-08-16","1691.1679999999997"
"2025-08-18","99733.9189999998"
"2025-08-19","117672.50800000007"
"2025-08-20","137882.77299999972"
"2025-08-21","119484.50000000016"
"2025-08-22","129874.93399999994"
"2025-08-23","109352.32100000005"
"2025-08-25","139628.77799999993"
"2025-08-26","180656.27299999964"
"2025-08-27","192075.86199999964"
"2025-08-28","191964.1110000001"
"2025-08-29","165638.79300000003"
"2025-09-01","191872.79099999956"
"2025-09-02","218889.56800000017"
"2025-09-03","231594.09299999976"
"2025-09-04","194778.661"
"2025-09-05","210737.033"
"2025-09-06","167662.50800000012"
"2025-09-08","219112.69299999962"
"2025-09-09","228270.90900000083"
"2025-09-10","230625.9119999999"
"2025-09-11","211319.20399999985"
"2025-09-12","222665.25000000006"
"2025-09-13","178857.4470000002"
"2025-09-15","217151.80999999965"
"2025-09-16","230359.1959999999"
"2025-09-17","227503.55799999982"
"2025-09-18","231412.05299999917"
"2025-09-19","228108.69799999948"
"2025-09-20","174260.71200000003"
"2025-09-22","249698.53300000037"
"2025-09-23","270881.20800000016"
"2025-09-24","277912.2830000001"
"2025-09-25","265456.04500000045"
"2025-09-26","266716.9030000001"
"2025-09-27","210922.59500000018"
"2025-09-29","238825.50199999925"
"2025-09-30","235861.2430000002"
